"","author","title","type","start","end","kind","words"
"1","Stoker, Bram","Dracula","sentence",33,518,NA,"DRACULA                                      DRACULA                                     by                                 Bram Stoker                          Illustration colophon                                  NEW YORK                              GROSSET  DUNLAP                                 Publishers         Copyright 1897 in the United States of America according                    to Act of Congress by Bram Stoker                           All rights reserved"
"2","Stoker, Bram","Dracula","sentence",520,667,NA,"                        PRINTED IN THE UNITED STATES                                    AT                THE COUNTRY LIFE PRESS GARDEN CITY NY"
"3","Stoker, Bram","Dracula","sentence",708,859,NA,"TO                               MY DEAR FRIEND                                 HOMMYBEG     Contents  CHAPTER I Jonathan Harkers Journal CHAPTER II"
"4","Stoker, Bram","Dracula","sentence",861,898,NA,"Jonathan Harkers Journal CHAPTER III"
"5","Stoker, Bram","Dracula","sentence",900,936,NA,"Jonathan Harkers Journal CHAPTER IV"
"6","Stoker, Bram","Dracula","sentence",938,1007,NA,"Jonathan Harkers Journal CHAPTER V LettersLucy and Mina CHAPTER VI"
"7","Stoker, Bram","Dracula","sentence",1009,1042,NA,"Mina Murrays Journal CHAPTER VII"
"8","Stoker, Bram","Dracula","sentence",1044,1096,NA,"Cutting from The Dailygraph 8 August CHAPTER VIII"
"9","Stoker, Bram","Dracula","sentence",1098,1130,NA,"Mina Murrays Journal CHAPTER IX"
"10","Stoker, Bram","Dracula","sentence",1132,1197,NA,"Mina Murrays Journal CHAPTER X Mina Murrays Journal CHAPTER XI"
"11","Stoker, Bram","Dracula","sentence",1199,1232,NA,"Lucy Westenras Diary CHAPTER XII"
"12","Stoker, Bram","Dracula","sentence",1234,1265,NA,"Dr Sewards Diary CHAPTER XIII"
"13","Stoker, Bram","Dracula","sentence",1267,1297,NA,"Dr Sewards Diary CHAPTER XIV"
"14","Stoker, Bram","Dracula","sentence",1299,1331,NA,"Mina Harkers Journal CHAPTER XV"
"15","Stoker, Bram","Dracula","sentence",1333,1363,NA,"Dr Sewards Diary CHAPTER XVI"
"16","Stoker, Bram","Dracula","sentence",1365,1396,NA,"Dr Sewards Diary CHAPTER XVII"
"17","Stoker, Bram","Dracula","sentence",1398,1430,NA,"Dr Sewards Diary CHAPTER XVIII"
"18","Stoker, Bram","Dracula","sentence",1432,1462,NA,"Dr Sewards Diary CHAPTER XIX"
"19","Stoker, Bram","Dracula","sentence",1464,1500,NA,"Jonathan Harkers Journal CHAPTER XX"
"20","Stoker, Bram","Dracula","sentence",1502,1539,NA,"Jonathan Harkers Journal CHAPTER XXI"
"21","Stoker, Bram","Dracula","sentence",1541,1572,NA,"Dr Sewards Diary CHAPTER XXII"
"22","Stoker, Bram","Dracula","sentence",1574,1613,NA,"Jonathan Harkers Journal CHAPTER XXIII"
"23","Stoker, Bram","Dracula","sentence",1615,1646,NA,"Dr Sewards Diary CHAPTER XXIV"
"24","Stoker, Bram","Dracula","sentence",1648,1712,NA,"Dr Sewards Phonograph Diary spoken by Van Helsing CHAPTER XXV"
"25","Stoker, Bram","Dracula","sentence",1714,1745,NA,"Dr Sewards Diary CHAPTER XXVI"
"26","Stoker, Bram","Dracula","sentence",1747,1779,NA,"Dr Sewards Diary CHAPTER XXVII"
"27","Stoker, Bram","Dracula","sentence",1781,1876,NA,"Mina Harkers Journal     DRACULA     CHAPTER I  JONATHAN HARKERS JOURNAL   Kept in shorthand"
"28","Stoker, Bram","Dracula","sentence",1878,1888,NA,"    3 May"
"29","Stoker, Bram","Dracula","sentence",1890,1898,NA,"Bistritz"
"30","Stoker, Bram","Dracula","sentence",1900,2035,NA,"Left Munich at 835 P M on 1st May arriving at Vienna early next morning should have arrived at 646 but train was an hour late"
"31","Stoker, Bram","Dracula","sentence",2037,2170,NA,"BudaPesth seems a wonderful place from the glimpse which I got of it from the train and the little I could walk through the streets"
"32","Stoker, Bram","Dracula","sentence",2172,2289,NA,"I feared to go very far from the station as we had arrived late and would start as near the correct time as possible"
"33","Stoker, Bram","Dracula","sentence",2291,2507,NA,"The impression I had was that we were leaving the West and entering the East the most western of splendid bridges over the Danube which is here of noble width and depth took us among the traditions of Turkish rule"
"34","Stoker, Bram","Dracula","sentence",2510,2579,NA,"We left in pretty good time and came after nightfall to Klausenburgh"
"35","Stoker, Bram","Dracula","sentence",2581,2629,NA,"Here I stopped for the night at the Hotel Royale"
"36","Stoker, Bram","Dracula","sentence",2631,2742,NA,"I had for dinner or rather supper a chicken done up some way with red pepper which was very good but thirsty"
"37","Stoker, Bram","Dracula","sentence",2744,2773,NA," Mem  get recipe for Mina"
"38","Stoker, Bram","Dracula","sentence",2775,2932,NA,"I asked the waiter and he said it was called paprika hendl and that as it was a national dish I should be able to get it anywhere along the Carpathians"
"39","Stoker, Bram","Dracula","sentence",2934,3046,NA,"I found my smattering of German very useful here indeed I dont know how I should be able to get on without it"
"40","Stoker, Bram","Dracula","sentence",3049,3355,NA,"Having had some time at my disposal when in London I had visited the British Museum and made search among the books and maps in the library regarding Transylvania it had struck me that some foreknowledge of the country could hardly fail to have some importance in dealing with a nobleman of that country"
"41","Stoker, Bram","Dracula","sentence",3357,3599,NA,"I find that the district he named is in the extreme east of the country just on the borders of three states Transylvania Moldavia and Bukovina in the midst of the Carpathian mountains one of the wildest and least known portions of Europe"
"42","Stoker, Bram","Dracula","sentence",3601,3876,NA,"I was not able to light on any map or work giving the exact locality of the Castle Dracula as there are no maps of this country as yet to compare with our own Ordnance Survey maps but I found that Bistritz the post town named by Count Dracula is a fairly wellknown place"
"43","Stoker, Bram","Dracula","sentence",3878,3982,NA,"I shall enter here some of my notes as they may refresh my memory when I talk over my travels with Mina"
"44","Stoker, Bram","Dracula","sentence",3985,4208,NA,"In the population of Transylvania there are four distinct nationalities Saxons in the South and mixed with them the Wallachs who are the descendants of the Dacians Magyars in the West and Szekelys in the East and North"
"45","Stoker, Bram","Dracula","sentence",4210,4289,NA,"I am going among the latter who claim to be descended from Attila and the Huns"
"46","Stoker, Bram","Dracula","sentence",4291,4407,NA,"This may be so for when the Magyars conquered the country in the eleventh century they found the Huns settled in it"
"47","Stoker, Bram","Dracula","sentence",4409,4611,NA,"I read that every known superstition in the world is gathered into the horseshoe of the Carpathians as if it were the centre of some sort of imaginative whirlpool if so my stay may be very interesting"
"48","Stoker, Bram","Dracula","sentence",4613,4658,NA," Mem  I must ask the Count all about them"
"49","Stoker, Bram","Dracula","sentence",4661,4756,NA,"I did not sleep well though my bed was comfortable enough for I had all sorts of queer dreams"
"50","Stoker, Bram","Dracula","sentence",4758,4957,NA,"There was a dog howling all night under my window which may have had something to do with it or it may have been the paprika for I had to drink up all the water in my carafe and was still thirsty"
"51","Stoker, Bram","Dracula","sentence",4959,5087,NA,"Towards morning I slept and was wakened by the continuous knocking at my door so I guess I must have been sleeping soundly then"
"52","Stoker, Bram","Dracula","sentence",5089,5281,NA,"I had for breakfast more paprika and a sort of porridge of maize flour which they said was mamaliga and eggplant stuffed with forcemeat a very excellent dish which they call impletata"
"53","Stoker, Bram","Dracula","sentence",5283,5317,NA," Mem  get recipe for this also"
"54","Stoker, Bram","Dracula","sentence",5319,5541,NA,"I had to hurry breakfast for the train started a little before eight or rather it ought to have done so for after rushing to the station at 730 I had to sit in the carriage for more than an hour before we began to move"
"55","Stoker, Bram","Dracula","sentence",5543,5621,NA,"It seems to me that the further east you go the more unpunctual are the trains"
"56","Stoker, Bram","Dracula","sentence",5623,5653,NA,"What ought they to be in China"
"57","Stoker, Bram","Dracula","sentence",5656,5745,NA,"All day long we seemed to dawdle through a country which was full of beauty of every kind"
"58","Stoker, Bram","Dracula","sentence",5747,5974,NA,"Sometimes we saw little towns or castles on the top of steep hills such as we see in old missals sometimes we ran by rivers and streams which seemed from the wide stony margin on each side of them to be subject to great floods"
"59","Stoker, Bram","Dracula","sentence",5976,6063,NA,"It takes a lot of water and running strong to sweep the outside edge of a river clear"
"60","Stoker, Bram","Dracula","sentence",6065,6155,NA,"At every station there were groups of people sometimes crowds and in all sorts of attire"
"61","Stoker, Bram","Dracula","sentence",6157,6346,NA,"Some of them were just like the peasants at home or those I saw coming through France and Germany with short jackets and round hats and homemade trousers but others were very picturesque"
"62","Stoker, Bram","Dracula","sentence",6348,6445,NA,"The women looked pretty except when you got near them but they were very clumsy about the waist"
"63","Stoker, Bram","Dracula","sentence",6447,6664,NA,"They had all full white sleeves of some kind or other and most of them had big belts with a lot of strips of something fluttering from them like the dresses in a ballet but of course there were petticoats under them"
"64","Stoker, Bram","Dracula","sentence",6666,6922,NA,"The strangest figures we saw were the Slovaks who were more barbarian than the rest with their big cowboy hats great baggy dirtywhite trousers white linen shirts and enormous heavy leather belts nearly a foot wide all studded over with brass nails"
"65","Stoker, Bram","Dracula","sentence",6924,7034,NA,"They wore high boots with their trousers tucked into them and had long black hair and heavy black moustaches"
"66","Stoker, Bram","Dracula","sentence",7036,7092,NA,"They are very picturesque but do not look prepossessing"
"67","Stoker, Bram","Dracula","sentence",7094,7175,NA,"On the stage they would be set down at once as some old Oriental band of brigands"
"68","Stoker, Bram","Dracula","sentence",7177,7265,NA,"They are however I am told very harmless and rather wanting in natural selfassertion"
"69","Stoker, Bram","Dracula","sentence",7268,7366,NA,"It was on the dark side of twilight when we got to Bistritz which is a very interesting old place"
"70","Stoker, Bram","Dracula","sentence",7368,7521,NA,"Being practically on the frontierfor the Borgo Pass leads from it into Bukovinait has had a very stormy existence and it certainly shows marks of it"
"71","Stoker, Bram","Dracula","sentence",7523,7627,NA,"Fifty years ago a series of great fires took place which made terrible havoc on five separate occasions"
"72","Stoker, Bram","Dracula","sentence",7629,7803,NA,"At the very beginning of the seventeenth century it underwent a siege of three weeks and lost 13000 people the casualties of war proper being assisted by famine and disease"
"73","Stoker, Bram","Dracula","sentence",7806,8005,NA,"Count Dracula had directed me to go to the Golden Krone Hotel which I found to my great delight to be thoroughly oldfashioned for of course I wanted to see all I could of the ways of the country"
"74","Stoker, Bram","Dracula","sentence",8007,8243,NA,"I was evidently expected for when I got near the door I faced a cheerylooking elderly woman in the usual peasant dresswhite undergarment with long double apron front and back of coloured stuff fitting almost too tight for modesty"
"75","Stoker, Bram","Dracula","sentence",8245,8338,NA,"When I came close she bowed and said The Herr Englishman Yes I said Jonathan Harker"
"76","Stoker, Bram","Dracula","sentence",8340,8448,NA,"She smiled and gave some message to an elderly man in white shirtsleeves who had followed her to the door"
"77","Stoker, Bram","Dracula","sentence",8450,8546,NA,"He went but immediately returned with a letter       My FriendWelcome to the Carpathians"
"78","Stoker, Bram","Dracula","sentence",8548,8581,NA,"I am anxiously expecting      you"
"79","Stoker, Bram","Dracula","sentence",8583,8602,NA,"Sleep well tonight"
"80","Stoker, Bram","Dracula","sentence",8604,8696,NA,"At three tomorrow the diligence will      start for Bukovina a place on it is kept for you"
"81","Stoker, Bram","Dracula","sentence",8698,8772,NA,"At the Borgo      Pass my carriage will await you and will bring you to me"
"82","Stoker, Bram","Dracula","sentence",8774,8898,NA,"I trust      that your journey from London has been a happy one and that you      will enjoy your stay in my beautiful land"
"83","Stoker, Bram","Dracula","sentence",8901,8925,NA,"Your friend  DRACULA"
"84","Stoker, Bram","Dracula","sentence",8930,8935,NA,"4 May"
"85","Stoker, Bram","Dracula","sentence",8937,9176,NA,"I found that my landlord had got a letter from the Count directing him to secure the best place on the coach for me but on making inquiries as to details he seemed somewhat reticent and pretended that he could not understand my German"
