,author,title,sentence,sentence_nr,words,kind
8,"Stoker, Bram",Dracula,TO                               MY DEAR FRIEND                                 HOMMYBEG     Contents  CHAPTER I Jonathan Harkers Journal CHAPTER II,3,Jonathan Harker,person
15,"Stoker, Bram",Dracula,Jonathan Harkers Journal CHAPTER III,4,Jonathan Harker,person
20,"Stoker, Bram",Dracula,Jonathan Harkers Journal CHAPTER IV,5,Jonathan Harker,person
26,"Stoker, Bram",Dracula,Jonathan Harkers Journal CHAPTER V LettersLucy and Mina CHAPTER VI,6,Lucy Westenra,person
27,"Stoker, Bram",Dracula,Jonathan Harkers Journal CHAPTER V LettersLucy and Mina CHAPTER VI,6,Jonathan Harker,person
31,"Stoker, Bram",Dracula,Jonathan Harkers Journal CHAPTER V LettersLucy and Mina CHAPTER VI,6,Mina Murray,person
34,"Stoker, Bram",Dracula,Mina Murrays Journal CHAPTER VII,7,Mina Murray,person
36,"Stoker, Bram",Dracula,Cutting from The Dailygraph 8 August CHAPTER VIII,8,NA,NA
38,"Stoker, Bram",Dracula,Mina Murrays Journal CHAPTER IX,9,Mina Murray,person
41,"Stoker, Bram",Dracula,Mina Murrays Journal CHAPTER X Mina Murrays Journal CHAPTER XI,10,Mina Murray,person
43,"Stoker, Bram",Dracula,Lucy Westenras Diary CHAPTER XII,11,Lucy Westenra,person
46,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XIII,12,Dr Seward,person
47,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XIII,12,Seward,person
48,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XIV,13,Dr Seward,person
49,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XIV,13,Seward,person
51,"Stoker, Bram",Dracula,Mina Harkers Journal CHAPTER XV,14,Mina Murray,person
53,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XVI,15,Dr Seward,person
54,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XVI,15,Seward,person
55,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XVII,16,Dr Seward,person
56,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XVII,16,Seward,person
57,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XVIII,17,Dr Seward,person
58,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XVIII,17,Seward,person
59,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XIX,18,Dr Seward,person
60,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XIX,18,Seward,person
63,"Stoker, Bram",Dracula,Jonathan Harkers Journal CHAPTER XX,19,Jonathan Harker,person
68,"Stoker, Bram",Dracula,Jonathan Harkers Journal CHAPTER XXI,20,Jonathan Harker,person
71,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XXII,21,Dr Seward,person
72,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XXII,21,Seward,person
75,"Stoker, Bram",Dracula,Jonathan Harkers Journal CHAPTER XXIII,22,Jonathan Harker,person
78,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XXIV,23,Dr Seward,person
79,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XXIV,23,Seward,person
81,"Stoker, Bram",Dracula,Dr Sewards Phonograph Diary spoken by Van Helsing CHAPTER XXV,24,Dr Seward,person
82,"Stoker, Bram",Dracula,Dr Sewards Phonograph Diary spoken by Van Helsing CHAPTER XXV,24,Van Helsing,person
83,"Stoker, Bram",Dracula,Dr Sewards Phonograph Diary spoken by Van Helsing CHAPTER XXV,24,Seward,person
84,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XXVI,25,Dr Seward,person
85,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XXVI,25,Seward,person
86,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XXVII,26,Dr Seward,person
87,"Stoker, Bram",Dracula,Dr Sewards Diary CHAPTER XXVII,26,Seward,person
91,"Stoker, Bram",Dracula,Mina Harkers Journal     DRACULA     CHAPTER I  JONATHAN HARKERS JOURNAL   Kept in shorthand,27,Jonathan Harker,person
93,"Stoker, Bram",Dracula,Mina Harkers Journal     DRACULA     CHAPTER I  JONATHAN HARKERS JOURNAL   Kept in shorthand,27,Mina Murray,person
95,"Stoker, Bram",Dracula,03-May,28,NA,NA
96,"Stoker, Bram",Dracula,Bistritz,29,Bistritz,location
97,"Stoker, Bram",Dracula,Left Munich at 835 P M on 1st May arriving at Vienna early next morning should have arrived at 646 but train was an hour late,30,Munich,location
98,"Stoker, Bram",Dracula,Left Munich at 835 P M on 1st May arriving at Vienna early next morning should have arrived at 646 but train was an hour late,30,Vienna,location
100,"Stoker, Bram",Dracula,BudaPesth seems a wonderful place from the glimpse which I got of it from the train and the little I could walk through the streets,31,NA,NA
102,"Stoker, Bram",Dracula,The impression I had was that we were leaving the West and entering the East the most western of splendid bridges over the Danube which is here of noble width and depth took us among the traditions of Turkish rule,33,NA,NA
103,"Stoker, Bram",Dracula,We left in pretty good time and came after nightfall to Klausenburgh,34,NA,NA
104,"Stoker, Bram",Dracula,Here I stopped for the night at the Hotel Royale,35,NA,NA
107,"Stoker, Bram",Dracula, Mem  get recipe for Mina,37,Mina Murray,person
108,"Stoker, Bram",Dracula,I asked the waiter and he said it was called paprika hendl and that as it was a national dish I should be able to get it anywhere along the Carpathians,38,Carpathian,location
110,"Stoker, Bram",Dracula,I found my smattering of German very useful here indeed I dont know how I should be able to get on without it,39,NA,NA
112,"Stoker, Bram",Dracula,Having had some time at my disposal when in London I had visited the British Museum and made search among the books and maps in the library regarding Transylvania it had struck me that some foreknowledge of the country could hardly fail to have some importance in dealing with a nobleman of that country,40,London,location
114,"Stoker, Bram",Dracula,Having had some time at my disposal when in London I had visited the British Museum and made search among the books and maps in the library regarding Transylvania it had struck me that some foreknowledge of the country could hardly fail to have some importance in dealing with a nobleman of that country,40,Transylvania,location
117,"Stoker, Bram",Dracula,I find that the district he named is in the extreme east of the country just on the borders of three states Transylvania Moldavia and Bukovina in the midst of the Carpathian mountains one of the wildest and least known portions of Europe,41,Carpathian,location
118,"Stoker, Bram",Dracula,I find that the district he named is in the extreme east of the country just on the borders of three states Transylvania Moldavia and Bukovina in the midst of the Carpathian mountains one of the wildest and least known portions of Europe,41,Europe,location
120,"Stoker, Bram",Dracula,I find that the district he named is in the extreme east of the country just on the borders of three states Transylvania Moldavia and Bukovina in the midst of the Carpathian mountains one of the wildest and least known portions of Europe,41,Transylvania,location
123,"Stoker, Bram",Dracula,I was not able to light on any map or work giving the exact locality of the Castle Dracula as there are no maps of this country as yet to compare with our own Ordnance Survey maps but I found that Bistritz the post town named by Count Dracula is a fairly wellknown place,42,Count Dracula,person
124,"Stoker, Bram",Dracula,I was not able to light on any map or work giving the exact locality of the Castle Dracula as there are no maps of this country as yet to compare with our own Ordnance Survey maps but I found that Bistritz the post town named by Count Dracula is a fairly wellknown place,42,Castle Dracula,location
128,"Stoker, Bram",Dracula,I was not able to light on any map or work giving the exact locality of the Castle Dracula as there are no maps of this country as yet to compare with our own Ordnance Survey maps but I found that Bistritz the post town named by Count Dracula is a fairly wellknown place,42,Bistritz,location
130,"Stoker, Bram",Dracula,I shall enter here some of my notes as they may refresh my memory when I talk over my travels with Mina,43,Mina Murray,person
132,"Stoker, Bram",Dracula,In the population of Transylvania there are four distinct nationalities Saxons in the South and mixed with them the Wallachs who are the descendants of the Dacians Magyars in the West and Szekelys in the East and North,44,North,location
133,"Stoker, Bram",Dracula,In the population of Transylvania there are four distinct nationalities Saxons in the South and mixed with them the Wallachs who are the descendants of the Dacians Magyars in the West and Szekelys in the East and North,44,Transylvania,location
134,"Stoker, Bram",Dracula,I am going among the latter who claim to be descended from Attila and the Huns,45,NA,NA
137,"Stoker, Bram",Dracula,I read that every known superstition in the world is gathered into the horseshoe of the Carpathians as if it were the centre of some sort of imaginative whirlpool if so my stay may be very interesting,47,Carpathian,location
138,"Stoker, Bram",Dracula, Mem  I must ask the Count all about them,48,Count Dracula,person
140,"Stoker, Bram",Dracula,I did not sleep well though my bed was comfortable enough for I had all sorts of queer dreams,49,NA,NA
141,"Stoker, Bram",Dracula,There was a dog howling all night under my window which may have had something to do with it or it may have been the paprika for I had to drink up all the water in my carafe and was still thirsty,50,NA,NA
142,"Stoker, Bram",Dracula,Towards morning I slept and was wakened by the continuous knocking at my door so I guess I must have been sleeping soundly then,51,NA,NA
143,"Stoker, Bram",Dracula,I had for breakfast more paprika and a sort of porridge of maize flour which they said was mamaliga and eggplant stuffed with forcemeat a very excellent dish which they call impletata,52,NA,NA
144,"Stoker, Bram",Dracula, Mem  get recipe for this also,53,NA,NA
146,"Stoker, Bram",Dracula,It seems to me that the further east you go the more unpunctual are the trains,55,NA,NA
147,"Stoker, Bram",Dracula,What ought they to be in China,56,China,location
151,"Stoker, Bram",Dracula,Sometimes we saw little towns or castles on the top of steep hills such as we see in old missals sometimes we ran by rivers and streams which seemed from the wide stony margin on each side of them to be subject to great floods,58,Castle Dracula,location
155,"Stoker, Bram",Dracula,It takes a lot of water and running strong to sweep the outside edge of a river clear,59,NA,NA
156,"Stoker, Bram",Dracula,At every station there were groups of people sometimes crowds and in all sorts of attire,60,NA,NA
157,"Stoker, Bram",Dracula,Some of them were just like the peasants at home or those I saw coming through France and Germany with short jackets and round hats and homemade trousers but others were very picturesque,61,France,location
158,"Stoker, Bram",Dracula,Some of them were just like the peasants at home or those I saw coming through France and Germany with short jackets and round hats and homemade trousers but others were very picturesque,61,Germany,location
159,"Stoker, Bram",Dracula,Some of them were just like the peasants at home or those I saw coming through France and Germany with short jackets and round hats and homemade trousers but others were very picturesque,61,Jack,person
160,"Stoker, Bram",Dracula,The women looked pretty except when you got near them but they were very clumsy about the waist,62,NA,NA
161,"Stoker, Bram",Dracula,They had all full white sleeves of some kind or other and most of them had big belts with a lot of strips of something fluttering from them like the dresses in a ballet but of course there were petticoats under them,63,NA,NA
163,"Stoker, Bram",Dracula,They wore high boots with their trousers tucked into them and had long black hair and heavy black moustaches,65,NA,NA
164,"Stoker, Bram",Dracula,They are very picturesque but do not look prepossessing,66,NA,NA
165,"Stoker, Bram",Dracula,On the stage they would be set down at once as some old Oriental band of brigands,67,NA,NA
166,"Stoker, Bram",Dracula,They are however I am told very harmless and rather wanting in natural selfassertion,68,NA,NA
167,"Stoker, Bram",Dracula,It was on the dark side of twilight when we got to Bistritz which is a very interesting old place,69,Bistritz,location
170,"Stoker, Bram",Dracula,Fifty years ago a series of great fires took place which made terrible havoc on five separate occasions,71,NA,NA
171,"Stoker, Bram",Dracula,At the very beginning of the seventeenth century it underwent a siege of three weeks and lost 13000 people the casualties of war proper being assisted by famine and disease,72,NA,NA
173,"Stoker, Bram",Dracula,Count Dracula had directed me to go to the Golden Krone Hotel which I found to my great delight to be thoroughly oldfashioned for of course I wanted to see all I could of the ways of the country,73,Count Dracula,person
175,"Stoker, Bram",Dracula,I was evidently expected for when I got near the door I faced a cheerylooking elderly woman in the usual peasant dresswhite undergarment with long double apron front and back of coloured stuff fitting almost too tight for modesty,74,NA,NA
177,"Stoker, Bram",Dracula,When I came close she bowed and said The Herr Englishman Yes I said Jonathan Harker,75,Jonathan Harker,person
180,"Stoker, Bram",Dracula,She smiled and gave some message to an elderly man in white shirtsleeves who had followed her to the door,76,NA,NA
181,"Stoker, Bram",Dracula,He went but immediately returned with a letter       My FriendWelcome to the Carpathians,77,Carpathian,location
184,"Stoker, Bram",Dracula,I am anxiously expecting      you,78,NA,NA
185,"Stoker, Bram",Dracula,Sleep well tonight,79,NA,NA
189,"Stoker, Bram",Dracula,I trust      that your journey from London has been a happy one and that you      will enjoy your stay in my beautiful land,82,London,location
191,"Stoker, Bram",Dracula,04-May,84,NA,NA
192,"Stoker, Bram",Dracula,I found that my landlord had got a letter from the Count directing him to secure the best place on the coach for me but on making inquiries as to details he seemed somewhat reticent and pretended that he could not understand my German,85,Count Dracula,person
196,"Stoker, Bram",Dracula,This could not be true because up to then he had understood it perfectly at least he answered my questions exactly as if he did,86,NA,NA
197,"Stoker, Bram",Dracula,He and his wife the old lady who had received me looked at each other in a frightened sort of way,87,NA,NA
200,"Stoker, Bram",Dracula,When I asked him if he knew Count Dracula and could tell me anything of his castle both he and his wife crossed themselves and saying that they knew nothing at all simply refused to speak further,89,Count Dracula,person
203,"Stoker, Bram",Dracula,When I asked him if he knew Count Dracula and could tell me anything of his castle both he and his wife crossed themselves and saying that they knew nothing at all simply refused to speak further,89,Castle Dracula,location
205,"Stoker, Bram",Dracula,Just before I was leaving the old lady came up to my room and said in a very hysterical way  Must you go Oh young Herr must you go,91,NA,NA
206,"Stoker, Bram",Dracula,She was in such an excited,92,NA,NA
207,"Stoker, Bram",Dracula,d state that she seemed to have lost her grip of what German she knew and mixed it all up with some other language which I did not know at all,93,NA,NA
208,"Stoker, Bram",Dracula,I was just able to follow her by asking many questions,94,NA,NA
209,"Stoker, Bram",Dracula,When I told her that I must go at once and that I was engaged on important business she asked again  Do you know what day it is,95,NA,NA
210,"Stoker, Bram",Dracula,I answered that it was the fourth of May,96,NA,NA
211,"Stoker, Bram",Dracula,She shook her head as she said again  Oh yes,97,NA,NA
212,"Stoker, Bram",Dracula,I know that,98,NA,NA
213,"Stoker, Bram",Dracula,I know that but do you know what day it is,99,NA,NA
214,"Stoker, Bram",Dracula,On my saying that I did not understand she went on  It is the eve of St Georges Day,100,St George,location
216,"Stoker, Bram",Dracula,Do you not know that tonight when the clock strikes midnight all the evil things in the world will have full sway,101,NA,NA
217,"Stoker, Bram",Dracula,Do you know where you are going and what you are going to,102,NA,NA
218,"Stoker, Bram",Dracula,She was in such evident distress that I tried to comfort her but without effect,103,NA,NA
222,"Stoker, Bram",Dracula,It was all very ridiculous but I did not feel comfortable,105,NA,NA
