"","words","kind"
"1","Jonathan Harkers Journal","person"
"2","Count Dracula","person"
"3","Jonathan Harker","person"
"4","United States of America","location"
"5","Van","location"
"6","Munich","location"
"7","Vienna","location"
"8","London","location"
"9","Carpathian","location"
"10","Europe","location"
"11","North","location"
"12","China","location"
"13","France","location"
"14","Germany","location"
"15","St George","location"
"16","Mina","location"
"17","Mr Hawkins","person"
"18","Whitaker","person"
"19","Count","person"
"20","Peter Hawkins","person"
"21","Hampton Court","location"
"22","England","location"
"23","Harker Jonathannay","person"
"24","Voivode","person"
"25","Asia","location"
"26","Africa","location"
"27","Samuel F Billington","person"
"28","Exeter","location"
"29","Durham","location"
"30","Shakespeare","person"
"31","Hungary","location"
"32","Mina Murray","person"
"33","Lucy Westenra","person"
"34","Lucy","person"
"35","Arthur","person"
"36","Jonathan","person"
"37","John Seward","person"
"38","Transylvania","location"
"39","Dr Seward","person"
"40","Arthur Holmwood","person"
"41","Jack Seward","person"
"42","Texas","location"
"43","Korea","location"
"44","Andres","person"
"45","Andrew Woodhouse","person"
"46","John Paxton","person"
"47","John Rawlings","person"
"48","York","location"
"49","Cape Farewell","location"
"50","Gulf","location"
"51","Finland","location"
"52","George Canon","person"
"53","Lord Godalmingis","person"
"54","Lord","person"
"55","Castle Dracula","location"
"56","Kettleness","location"
"57","Robin Hood","person"
"58","Tate Hill Pier","person"
"59","Cape Matapan","location"
"60","Straits","location"
"61","Bay","location"
"62","Mr Swales","person"
"63","North Sea","location"
"64","North Terrace","location"
"65","Scotland","location"
"66","Samuel","person"
"67","Messrs Carter","person"
"68","Purfleet","location"
"69","Letter","person"
"70","Sirs","person"
"71","Sister Agatha","person"
"72","Joseph","person"
"73","Mary","person"
"74","Wilhelmina Murray","person"
"75","Madam","person"
"76","Renfield","location"
"77","Jack Sheppard","person"
"78","Whitby","location"
"79","Hamburg","location"
"80","Diary Hillingham","person"
"81","Hillingham","location"
"82","Miss Murray","person"
"83","Van Helsing","person"
"84","Abraham Van Helsing","person"
"85","John","person"
"86","Amsterdam","location"
"87","Dame Nature","person"
"88","Jack","person"
"89","Friend John","person"
"90","Dr Van Helsing","person"
"91","Nature","location"
"92","Love","person"
"93","Seward","person"
"94","Love","location"
"95","Haarlem","location"
"96","Thomas Bilder","person"
"97","Thomas","person"
"98","Tom","person"
"99","Norway","location"
"100","Jamrach","location"
"101","Park","location"
"102","Truly Miss Lucy","person"
"103","Patrick Hennessey","person"
"104","Hardy","person"
"105","George","person"
"106","Thomas Snelling","person"
"107","Peter Farley","person"
"108","Guide Court","person"
"109","Bethnal Green","person"
"110","Hawkins","person"
"111","Wait","person"
"112","Friend","person"
"113","Lucy","location"
"114","Lord Godalming","person"
"115","Art","person"
"116","Mrs Westenra","person"
"117","Hyde Park","location"
"118","Green Park","location"
"119","Ellen Terry","person"
"120","Hampstead Hill","location"
"121","Jonathan","location"
"122","Byron","person"
"123","Dr Vincent","person"
"124","Jack Straw","person"
"125","Castle","person"
"126","Berkeley","location"
"127","Eastern Europe","location"
"128","UnDead","location"
"129","Arthur","location"
"130","Madam Mina","location"
"131","Telegraph","location"
"132","Carter Paterson","person"
"133","Jerusalem","location"
"134","Mrs Harker","person"
"135","Greece","location"
"136","Rome","location"
"137","India","location"
"138","Lake Hermanstadt","location"
"139","Sacred Wafer","location"
"140","Joseph Smollet","person"
"141","Jamaica Lane","location"
"142","Pincher","location"
"143","Sam Bloxam","person"
"144","Sam","person"
"145","Mitchell","person"
"146","Candy","person"
"147","Surely","person"
"148","Piccadilly","location"
"149","Count de Ville","person"
"150","Doctor","person"
"151","Moon","location"
"152","Godalming","location"
"153","Mina","person"
"154","Death","person"
"155","Friend Quincey","person"
"156","Switzerland","location"
"157","Count","location"
"158","earth","location"
"159","Arlington Street","location"
"160","Soldier","person"
"161","Lord Arthur","person"
"162","Devil","location"
"163","Morris","person"
"164","Harker","location"
"165","Mr Quincey Morris","person"
"166","Lloyd","person"
"167","Castle","location"
"168","Black Sea","location"
"169","Varna","location"
"170","Turkey","location"
"171","Brave","location"
"172","Rufus Smith","person"
"173","Noon","person"
"174","Paris","location"
"175","Dr Van Helsingthat","person"
"176","Hans Andersen","person"
"177","Great River","location"
"178","God","location"
"179","Providence","location"
"180","Adelphi","location"
"181","Skinsky","person"
"182","Mr Morris","person"
"183","Bistritz","location"
"184","Veresti","location"
"185","Madam Mina","person"
"186","John William Polidori","person"
"187","Bradshaw","person"
"188","Milton","person"
"189","Lord Byron","person"
"190","Shelly","person"
"191","Alps","location"
"192","Heights","location"
"193","Geneva","location"
"194","Arnold Paul","person"
"195","Affection","person"
"196","Goand","person"
"197","Poland","location"
"198","Austria","location"
"199","vampyre2","location"
"200","Lord Ruthven","person"
"201","Italy","location"
"202","Peninsula","location"
"203","Athens","location"
"204","Aubrey","person"
"205","Naples","location"
"206","Earl","person"
"207","Ruthven","person"
"208","School","person"
"209","Paradise Lost","person"
"210","Dominick","person"
"211","Benevolence","person"
"212","Smyrna","location"
